id,price
858,516878.6135462093
1874,861417.1960136641
918,448270.1552899581
475,392281.93861103436
2466,558044.9754816184
3541,483381.3639436733
3292,311741.0728945099
4007,426860.5252819676
2041,505645.2120659204
4244,512375.51939511293
2260,461213.6283797941
3087,320073.05505471205
1117,317828.76569914626
3150,379820.65215707355
3113,510609.0920327417
2569,520290.3211557919
2101,601206.245579022
3381,278233.23382010026
2867,330942.21742510423
64,641342.6003211847
4174,975129.8052857396
4010,306739.4379933813
114,684488.9194281118
876,252013.41888569808
1761,1067015.4672411226
781,676061.4939708412
637,652730.1615046016
3404,455714.2487774087
2941,671247.3557504618
933,476650.4054501424
3741,241022.605616642
866,289265.685044863
3481,599384.9651061086
666,614885.1028075835
3578,577348.3507711516
249,431155.61079784407
116,533675.7917441655
715,323247.3182233281
3227,336242.28433766
3625,576551.0455756648
1987,309168.2799016186
3429,925107.7521270692
1668,529994.687597623
4584,396312.3327193086
1015,282929.6306385501
4278,551575.3303204479
678,527052.3899019813
3139,247032.47583875965
2913,347134.1740078801
838,431178.04023166694
3829,619233.3693363497
2427,403724.6932416323
832,422165.7052814302
2655,275322.0677481828
2223,390053.63073359965
4067,511435.41633147036
474,1333849.2919133785
2225,252437.5041995848
1126,570024.0429602726
4206,272853.70050309284
735,414087.18954096804
700,488338.33084423165
3149,708597.3889658877
4330,385101.0133362914
1503,655945.1640591295
1165,757339.3956076585
3048,285302.3396835178
4251,254151.4030985728
1591,436175.4760260937
4514,593995.698617341
1227,319091.50375893374
3902,393558.73531129287
4388,403008.461276239
1383,263712.8348083336
1074,236762.37912318087
4133,552078.808128273
1701,367075.7831738741
3342,253832.36849604076
278,369932.03260608175
1514,309448.834092298
1722,813438.225091714
3673,625885.5761891805
2622,308069.73793922504
1767,340916.67281997285
4107,636197.5760892066
3643,226675.08273837317
3745,1001179.1208247213
1861,190542.94403282335
1532,315511.9074863802
3138,251627.17982468347
259,728788.9891162628
56,419730.7687595383
2463,513493.6318866314
1030,647266.5482749676
4376,573456.5868245652
1196,557271.7708422416
3666,882067.8297342614
2801,570650.6264169299
2179,404029.99122510175
3940,363948.6505648036
1740,985339.0851478822
2009,416996.8025856712
3633,286918.40977760334
857,445648.01969261124
2705,1063436.4753904694
3600,402414.8523725437
4282,714921.4153688514
2826,548305.4582114648
4369,521215.4179008284
2375,312949.3237308787
1156,300150.741199247
3884,497300.5726543932
817,412868.39558561787
968,340926.3523871585
3419,834232.8523762706
1356,300326.2236535037
2491,634792.9065230406
3573,408670.08473838033
1914,483541.38375665835
1377,499647.1269843295
2707,320276.3988080556
1373,397957.2924429828
3067,352382.0257017366
275,727594.0692755695
4576,675052.539093851
1184,359794.8097116467
1731,498865.41719596507
1626,407346.69795019814
3914,597656.0074439354
4340,660180.0687486065
1149,778000.928730404
4001,507317.771923898
272,861902.6388158709
4168,259410.18977534908
2076,641342.6003211847
390,951925.8184159554
914,558119.2146962245
3616,692726.6447754736
1896,357476.128687881
3548,334263.9926992976
860,384651.6671826556
3795,490308.2227527751
2047,524039.7354384734
2591,424147.291212954
1550,377816.11676788883
3256,387581.182721039
2435,402232.58916084585
756,331625.9536650773
1712,329357.87713545957
3995,330183.8632276862
160,250965.17317309
1229,309398.3942879736
2406,371431.95984311914
247,483733.36656708556
204,586718.8405284154
205,457694.88929075893
228,694143.550526151
3480,191901.42210316617
4132,850096.5974583316
1794,646516.1129738453
2562,351446.87368355144
1962,1141024.2422254097
3724,866388.520383747
1,1213532.0460799625
3136,246381.40973726884
2188,368716.0390916566
1392,732759.7961826896
1098,396658.7746721238
4447,244667.35747522447
2373,552642.710224382
1572,617935.8072663853
187,270020.0622843325
4117,193871.28517921604
1507,524039.7354384734
3718,262742.8242442707
467,301109.0567951487
202,680601.7461373971
1409,436957.368052277
3098,428427.52799983404
1973,278480.52291873837
915,574085.0716123388
2690,598490.610208577
3026,385734.18409125856
1790,447903.4891859051
2531,542815.0815673287
1044,596641.3490249173
